segment,churn_probability,risk_level,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Relationship_Count
Credit Revolvers,0.3007501,High Risk,3902,76,0.283,6
Credit Revolvers,0.025872111,Low Risk,1353,30,0.465,3
Credit Revolvers,0.177048,Medium Risk,1850,34,0.763,5
Credit Revolvers,0.04322525,Low Risk,1715,39,0.375,3
Low Engagement Users,0.15286207,Medium Risk,1412,38,0.0,1
Low Engagement Users,0.1435523,Medium Risk,1325,29,0.215,4
Credit Revolvers,0.091011584,Medium Risk,2523,48,0.495,4
Low Engagement Users,0.07348008,Medium Risk,2323,47,0.251,3
Low Engagement Users,0.049838666,Low Risk,1165,35,0.103,3
Credit Revolvers,0.07754138,Medium Risk,1018,32,0.492,5
Low Engagement Users,0.045399062,Low Risk,1484,34,0.106,6
Low Engagement Users,0.07359903,Medium Risk,695,10,0.0,3
Low Engagement Users,0.0666945,Low Risk,2443,70,0.07,6
Credit Revolvers,0.11467851,Medium Risk,1959,56,0.941,6
Credit Revolvers,0.16657957,Medium Risk,1771,47,0.492,3
Low Engagement Users,0.028627254,Low Risk,1604,42,0.292,4
Credit Revolvers,0.010144824,Low Risk,1562,27,0.844,5
Credit Revolvers,0.030394642,Low Risk,2269,39,0.675,5
Low Engagement Users,0.018442104,Low Risk,1449,28,0.246,4
Low Engagement Users,0.15712193,Medium Risk,1665,44,0.129,6
Low Engagement Users,0.07343205,Medium Risk,1457,43,0.0,4
Low Engagement Users,0.2988426,High Risk,2795,55,0.099,5
Low Engagement Users,0.14136472,Medium Risk,1041,27,0.0,3
Credit Revolvers,0.037877217,Low Risk,2005,50,0.744,4
Low Engagement Users,0.017846122,Low Risk,1225,34,0.0,2
Low Engagement Users,0.16089709,Medium Risk,2099,39,0.0,6
Low Engagement Users,0.013694372,Low Risk,2547,45,0.055,3
Credit Revolvers,0.026345469,Low Risk,2864,37,0.43,5
Credit Revolvers,0.19151206,High Risk,1602,37,0.706,3
Low Engagement Users,0.066032514,Low Risk,3013,83,0.051,5
Credit Revolvers,0.022808034,Low Risk,1324,38,0.61,5
Low Engagement Users,0.16378532,Medium Risk,1960,48,0.0,4
Low Engagement Users,0.06385475,Low Risk,2652,61,0.037,3
Low Engagement Users,0.042616382,Low Risk,2435,63,0.0,6
Low Engagement Users,0.15477715,Medium Risk,2744,75,0.0,3
Credit Revolvers,0.044703245,Low Risk,1215,22,0.53,5
Credit Revolvers,0.27306312,High Risk,2856,39,0.512,5
Credit Revolvers,0.05628635,Low Risk,1260,34,0.453,6
Low Engagement Users,0.2951708,High Risk,1804,32,0.027,6
Low Engagement Users,0.040611457,Low Risk,1339,30,0.23,4
Low Engagement Users,0.31282395,High Risk,3093,66,0.061,3
Credit Revolvers,0.42166612,High Risk,1618,37,0.296,6
Low Engagement Users,0.03480466,Low Risk,1013,28,0.066,3
Low Engagement Users,0.19845264,High Risk,3328,69,0.14,6
Low Engagement Users,0.063648835,Low Risk,2061,61,0.089,6
Credit Revolvers,0.27455452,High Risk,1567,42,0.765,5
Low Engagement Users,0.21220069,High Risk,1573,35,0.321,4
Low Engagement Users,0.060178585,Low Risk,2568,69,0.178,5
Low Engagement Users,0.057273194,Low Risk,1804,41,0.081,6
Low Engagement Users,0.04980958,Low Risk,725,22,0.0,2
Credit Revolvers,0.061199594,Low Risk,2243,38,0.481,4
Low Engagement Users,0.070274234,Medium Risk,1236,36,0.093,5
Credit Revolvers,0.19770901,High Risk,2169,43,0.655,6
Low Engagement Users,0.021803912,Low Risk,1488,26,0.118,6
Credit Revolvers,0.09259992,Medium Risk,1765,27,0.753,3
Low Engagement Users,0.272859,High Risk,1476,30,0.196,5
Credit Revolvers,0.15151706,Medium Risk,1275,31,0.563,5
Credit Revolvers,0.056521293,Low Risk,1872,51,0.418,5
Low Engagement Users,0.014380883,Low Risk,2439,63,0.0,3
Credit Revolvers,0.13677166,Medium Risk,1453,27,0.399,3
Low Engagement Users,0.008061797,Low Risk,2411,41,0.0,3
Credit Revolvers,0.1334463,Medium Risk,862,13,0.348,3
Low Engagement Users,0.02523765,Low Risk,1306,32,0.148,3
Low Engagement Users,0.057854205,Low Risk,1593,46,0.099,4
Low Engagement Users,0.018763024,Low Risk,1837,37,0.0,6
Low Engagement Users,0.2446879,High Risk,1909,52,0.104,5
Low Engagement Users,0.016990183,Low Risk,2170,41,0.0,6
Credit Revolvers,0.50057065,High Risk,1725,29,0.285,5
Low Engagement Users,0.026324652,Low Risk,4291,78,0.067,5
Low Engagement Users,0.008168085,Low Risk,3703,91,0.0,5
Credit Revolvers,0.36859056,High Risk,2177,59,0.718,6
Credit Revolvers,0.014682592,Low Risk,2883,61,0.59,5
Credit Revolvers,0.026525432,Low Risk,1515,31,0.413,5
Credit Revolvers,0.1502379,Medium Risk,2048,35,0.653,5
Low Engagement Users,0.014326503,Low Risk,2038,45,0.0,5
Low Engagement Users,0.2951708,High Risk,1980,45,0.141,3
Low Engagement Users,0.06523563,Low Risk,1899,33,0.138,4
Low Engagement Users,0.13094988,Medium Risk,1842,56,0.079,5
Credit Revolvers,0.16781509,Medium Risk,2617,48,0.721,3
Low Engagement Users,0.061929733,Low Risk,3407,47,0.0,5
Credit Revolvers,0.03304233,Low Risk,1765,36,0.82,5
Low Engagement Users,0.05374765,Low Risk,2650,69,0.125,3
Low Engagement Users,0.31842807,High Risk,3891,79,0.07,6
Low Engagement Users,0.017410511,Low Risk,3942,84,0.0,5
Low Engagement Users,0.077990964,Medium Risk,2398,61,0.172,4
Credit Revolvers,0.02696933,Low Risk,2692,63,0.498,3
Credit Revolvers,0.15369695,Medium Risk,1346,26,0.657,4
Low Engagement Users,0.023104887,Low Risk,1390,24,0.267,3
Low Engagement Users,0.053820826,Low Risk,2073,54,0.063,6
Credit Revolvers,0.049194895,Low Risk,3994,64,0.646,5
Low Engagement Users,0.2189912,High Risk,1723,36,0.052,5
Credit Revolvers,0.060247745,Low Risk,3116,80,0.398,4
Low Engagement Users,0.16711839,Medium Risk,2555,62,0.069,3
Low Engagement Users,0.19351335,High Risk,2717,63,0.0,3
Low Engagement Users,0.051097173,Low Risk,967,24,0.0,6
Low Engagement Users,0.013245425,Low Risk,2660,89,0.0,3
Credit Revolvers,0.3014325,High Risk,2412,62,0.386,5
Low Engagement Users,0.12643997,Medium Risk,777,13,0.0,5
Credit Revolvers,0.30827555,High Risk,2292,54,0.815,5
Low Engagement Users,0.08017069,Medium Risk,3774,63,0.101,6
Low Engagement Users,0.025357114,Low Risk,1723,31,0.292,5
Low Engagement Users,0.0748323,Medium Risk,1668,32,0.249,5
Low Engagement Users,0.28116375,High Risk,1777,56,0.074,6
Credit Revolvers,0.23376437,High Risk,1888,39,0.429,3
Credit Revolvers,0.25222844,High Risk,1597,37,0.79,3
Low Engagement Users,0.01798712,Low Risk,2804,70,0.0,4
Credit Revolvers,0.03747652,Low Risk,1651,43,0.31,5
Credit Revolvers,0.37874302,High Risk,2367,50,0.799,6
Credit Revolvers,0.14625035,Medium Risk,3386,53,0.429,6
Credit Revolvers,0.13896367,Medium Risk,2399,57,0.751,3
Credit Revolvers,0.039856434,Low Risk,2320,57,0.821,4
Low Engagement Users,0.03783485,Low Risk,2119,52,0.0,3
Low Engagement Users,0.13955979,Medium Risk,2395,45,0.0,2
Low Engagement Users,0.06531986,Low Risk,2181,32,0.323,3
Credit Revolvers,0.07976682,Medium Risk,1913,35,0.61,4
Low Engagement Users,0.10138526,Medium Risk,3063,87,0.107,3
Low Engagement Users,0.06938571,Medium Risk,1088,22,0.0,3
Low Engagement Users,0.026887778,Low Risk,1138,38,0.076,3
Low Engagement Users,0.24069153,High Risk,2595,58,0.08,3
Low Engagement Users,0.018763024,Low Risk,1788,46,0.0,6
Credit Revolvers,0.061221663,Low Risk,2602,51,0.274,6
Credit Revolvers,0.038178712,Low Risk,2236,55,0.724,4
Credit Revolvers,0.021979563,Low Risk,3095,63,0.488,5
Credit Revolvers,0.08406477,Medium Risk,2397,41,0.807,4
Credit Revolvers,0.27491364,High Risk,2439,61,0.757,3
Low Engagement Users,0.02281574,Low Risk,2225,44,0.334,6
Credit Revolvers,0.13677166,Medium Risk,1569,33,0.353,5
Credit Revolvers,0.053937025,Low Risk,1927,47,0.525,6
Low Engagement Users,0.0666945,Low Risk,2140,49,0.147,5
Low Engagement Users,0.017901678,Low Risk,2522,68,0.0,6
Low Engagement Users,0.06262754,Low Risk,3503,65,0.04,6
Low Engagement Users,0.009747932,Low Risk,2657,71,0.0,6
Low Engagement Users,0.05823077,Low Risk,1373,35,0.173,3
Low Engagement Users,0.010253769,Low Risk,2557,67,0.0,5
Low Engagement Users,0.047615696,Low Risk,2758,56,0.056,3
Low Engagement Users,0.025438117,Low Risk,1473,35,0.026,5
Low Engagement Users,0.019185454,Low Risk,2843,53,0.0,5
Credit Revolvers,0.14331825,Medium Risk,2570,49,0.706,6
Credit Revolvers,0.26892263,High Risk,1446,22,0.816,4
Low Engagement Users,0.45161346,High Risk,1181,30,0.077,5
Low Engagement Users,0.04265151,Low Risk,1426,34,0.137,3
Credit Revolvers,0.028089711,Low Risk,1566,36,0.582,6
Credit Revolvers,0.42550907,High Risk,3319,86,0.692,6
Credit Revolvers,0.023961416,Low Risk,1134,26,0.99,3
Low Engagement Users,0.00612909,Low Risk,1859,43,0.0,4
Low Engagement Users,0.04347093,Low Risk,2223,72,0.0,4
Low Engagement Users,0.06643796,Low Risk,2967,80,0.128,4
Credit Revolvers,0.100827865,Medium Risk,1645,33,0.517,3
Low Engagement Users,0.12362443,Medium Risk,2197,45,0.186,3
Low Engagement Users,0.058524042,Low Risk,809,15,0.0,2
Credit Revolvers,0.060994957,Low Risk,1534,34,0.428,5
Low Engagement Users,0.13154875,Medium Risk,1413,37,0.06,4
Credit Revolvers,0.028598731,Low Risk,2659,63,0.573,6
Credit Revolvers,0.062252317,Low Risk,1842,36,0.49,5
Low Engagement Users,0.25725278,High Risk,1515,36,0.079,3
Low Engagement Users,0.38618726,High Risk,2997,56,0.055,4
Low Engagement Users,0.13761908,Medium Risk,2599,47,0.0,6
Low Engagement Users,0.08606691,Medium Risk,2916,50,0.094,4
Credit Revolvers,0.027284544,Low Risk,4157,58,0.873,3
Credit Revolvers,0.044703245,Low Risk,2670,50,0.752,4
Low Engagement Users,0.2520388,High Risk,2221,57,0.186,3
Low Engagement Users,0.17817992,Medium Risk,2460,74,0.079,3
Credit Revolvers,0.13851772,Medium Risk,1698,41,0.497,4
Credit Revolvers,0.13138437,Medium Risk,694,12,0.812,2
Low Engagement Users,0.056020964,Low Risk,2167,57,0.026,4
Low Engagement Users,0.15251464,Medium Risk,2760,44,0.148,4
Low Engagement Users,0.14520729,Medium Risk,1753,43,0.035,5
Low Engagement Users,0.021871068,Low Risk,1678,36,0.0,3
Credit Revolvers,0.026260283,Low Risk,1887,60,0.758,6
Low Engagement Users,0.04500302,Low Risk,1535,31,0.234,3
Credit Revolvers,0.053814977,Low Risk,1903,30,0.417,6
Credit Revolvers,0.07955031,Medium Risk,2631,55,0.449,4
Credit Revolvers,0.0935189,Medium Risk,3753,63,0.883,5
Low Engagement Users,0.04731279,Low Risk,1989,37,0.145,5
Low Engagement Users,0.12627333,Medium Risk,2165,49,0.092,6
Credit Revolvers,0.04738819,Low Risk,2003,47,0.386,3
Low Engagement Users,0.057542883,Low Risk,717,18,0.0,6
Low Engagement Users,0.06593956,Low Risk,1921,43,0.15,5
Low Engagement Users,0.16378532,Medium Risk,2412,58,0.0,6
Credit Revolvers,0.07974145,Medium Risk,2487,52,0.471,6
Low Engagement Users,0.43647465,High Risk,2792,51,0.107,6
Credit Revolvers,0.04567992,Low Risk,2170,63,0.519,3
Low Engagement Users,0.061690174,Low Risk,4776,63,0.044,3
Credit Revolvers,0.31858605,High Risk,1518,36,0.705,6
Low Engagement Users,0.20847403,High Risk,1476,37,0.284,4
Credit Revolvers,0.025244238,Low Risk,2256,70,0.768,6
Low Engagement Users,0.45019704,High Risk,1848,49,0.099,4
Low Engagement Users,0.072384566,Medium Risk,850,18,0.0,3
Low Engagement Users,0.012922997,Low Risk,2308,49,0.0,5
Low Engagement Users,0.019606508,Low Risk,1867,45,0.0,3
Low Engagement Users,0.050712172,Low Risk,1923,49,0.076,6
Credit Revolvers,0.049838804,Low Risk,1600,45,0.707,3
Credit Revolvers,0.02377962,Low Risk,1809,41,0.436,5
Low Engagement Users,0.02219755,Low Risk,1208,38,0.154,3
Low Engagement Users,0.15294743,Medium Risk,2201,46,0.213,6
Low Engagement Users,0.24228953,High Risk,2510,57,0.342,3
Credit Revolvers,0.05735516,Low Risk,3784,74,0.301,3
Low Engagement Users,0.02674873,Low Risk,1683,34,0.107,6
Credit Revolvers,0.10249867,Medium Risk,1911,47,0.925,4
Low Engagement Users,0.01601936,Low Risk,2286,39,0.064,6
Low Engagement Users,0.081218824,Medium Risk,3360,56,0.11,4
Low Engagement Users,0.009108622,Low Risk,2047,46,0.0,4
Credit Revolvers,0.16057111,Medium Risk,1534,35,0.773,6
Credit Revolvers,0.053937025,Low Risk,1516,32,0.522,4
Low Engagement Users,0.06195137,Low Risk,1758,40,0.122,6
Low Engagement Users,0.027489405,Low Risk,4014,70,0.137,6
Low Engagement Users,0.030094026,Low Risk,2947,87,0.153,5
Low Engagement Users,0.067875646,Medium Risk,2134,47,0.116,6
Credit Revolvers,0.032638617,Low Risk,1546,36,0.38,4
Low Engagement Users,0.07057342,Medium Risk,1545,21,0.264,5
Low Engagement Users,0.037275743,Low Risk,2878,65,0.05,6
Low Engagement Users,0.01612852,Low Risk,2261,37,0.172,6
Credit Revolvers,0.07560528,Medium Risk,1896,31,0.816,4
Credit Revolvers,0.029196296,Low Risk,1941,58,0.571,4
Low Engagement Users,0.010191021,Low Risk,2021,41,0.0,6
Low Engagement Users,0.03262947,Low Risk,1435,29,0.257,5
Low Engagement Users,0.04778448,Low Risk,1159,26,0.28,3
Credit Revolvers,0.15859815,Medium Risk,1188,40,0.604,5
Credit Revolvers,0.016056228,Low Risk,2236,57,0.411,4
Credit Revolvers,0.12434248,Medium Risk,1680,33,0.832,6
Low Engagement Users,0.15075558,Medium Risk,1180,29,0.184,4
Low Engagement Users,0.09080497,Medium Risk,2171,48,0.0,2
Credit Revolvers,0.009276568,Low Risk,1454,30,0.448,6
Credit Revolvers,0.047188144,Low Risk,1984,38,0.488,4
Low Engagement Users,0.36170042,High Risk,3327,80,0.122,5
Low Engagement Users,0.06330838,Low Risk,1824,38,0.234,3
Credit Revolvers,0.018269295,Low Risk,1532,26,0.438,6
Low Engagement Users,0.113868125,Medium Risk,2901,75,0.073,6
Low Engagement Users,0.005047064,Low Risk,1707,41,0.0,5
Low Engagement Users,0.17029093,Medium Risk,1903,49,0.147,3
Credit Revolvers,0.10040815,Medium Risk,2384,61,0.552,6
Credit Revolvers,0.042477213,Low Risk,2337,61,0.476,4
Low Engagement Users,0.14277999,Medium Risk,1826,35,0.0,4
Credit Revolvers,0.04641959,Low Risk,3395,70,0.348,6
Low Engagement Users,0.017182482,Low Risk,2473,33,0.0,5
Low Engagement Users,0.05796697,Low Risk,1850,44,0.131,3
Low Engagement Users,0.022867912,Low Risk,1574,34,0.125,5
Low Engagement Users,0.03787395,Low Risk,1792,48,0.059,5
Low Engagement Users,0.07636929,Medium Risk,2567,70,0.117,3
Credit Revolvers,0.08574415,Medium Risk,2758,55,0.461,4
Low Engagement Users,0.23620966,High Risk,3725,60,0.057,3
Credit Revolvers,0.028578589,Low Risk,2263,60,0.286,5
Low Engagement Users,0.018544221,Low Risk,1154,22,0.0,3
Low Engagement Users,0.5643531,High Risk,2336,49,0.257,5
Low Engagement Users,0.024695238,Low Risk,2677,70,0.0,4
Credit Revolvers,0.648984,High Risk,1701,33,0.792,5
Credit Revolvers,0.029678425,Low Risk,1344,37,0.347,4
Low Engagement Users,0.06256718,Low Risk,1893,36,0.1,6
Low Engagement Users,0.15603982,Medium Risk,3630,71,0.0,3
Low Engagement Users,0.010815749,Low Risk,2075,66,0.0,5
Credit Revolvers,0.0249799,Low Risk,1992,46,0.376,6
Low Engagement Users,0.14929044,Medium Risk,1961,32,0.175,6
Credit Revolvers,0.2490053,High Risk,1485,26,0.699,6
Low Engagement Users,0.013422596,Low Risk,1564,31,0.0,3
Low Engagement Users,0.04397605,Low Risk,1397,28,0.189,5
Low Engagement Users,0.010569312,Low Risk,3347,71,0.0,6
Credit Revolvers,0.02579651,Low Risk,1417,30,0.641,3
Low Engagement Users,0.043248717,Low Risk,2553,61,0.203,6
Credit Revolvers,0.014134667,Low Risk,1560,43,0.506,3
Low Engagement Users,0.19899976,High Risk,2208,56,0.0,5
Credit Revolvers,0.19494656,High Risk,1561,39,0.37,4
Low Engagement Users,0.023782708,Low Risk,1992,40,0.158,4
Low Engagement Users,0.02232552,Low Risk,1935,52,0.216,4
Low Engagement Users,0.04723617,Low Risk,1913,49,0.203,4
Credit Revolvers,0.357944,High Risk,3519,73,0.777,3
Credit Revolvers,0.022657476,Low Risk,2916,45,0.588,4
Low Engagement Users,0.15379302,Medium Risk,1593,35,0.0,3
Credit Revolvers,0.09664531,Medium Risk,1323,25,0.801,4
Low Engagement Users,0.28487617,High Risk,3084,63,0.15,5
Credit Revolvers,0.050029647,Low Risk,2740,62,0.426,5
Low Engagement Users,0.11422207,Medium Risk,936,25,0.15,1
Low Engagement Users,0.013275986,Low Risk,2207,68,0.0,4
Low Engagement Users,0.3130027,High Risk,2585,64,0.302,4
Credit Revolvers,0.022367325,Low Risk,1347,27,0.277,3
Credit Revolvers,0.024137532,Low Risk,1469,36,0.582,6
Credit Revolvers,0.13344502,Medium Risk,1468,32,0.765,6
Low Engagement Users,0.020306174,Low Risk,1454,43,0.187,3
Credit Revolvers,0.252495,High Risk,1615,36,0.687,6
Low Engagement Users,0.08716048,Medium Risk,2572,65,0.0,3
Credit Revolvers,0.060178585,Low Risk,2373,73,0.571,3
Low Engagement Users,0.015648298,Low Risk,2473,46,0.0,3
Credit Revolvers,0.012410921,Low Risk,1479,28,0.687,4
Credit Revolvers,0.049441434,Low Risk,2441,58,0.493,6
Low Engagement Users,0.25306514,High Risk,2079,57,0.098,5
Low Engagement Users,0.2951708,High Risk,2248,51,0.077,4
Low Engagement Users,0.15268917,Medium Risk,1580,54,0.155,3
Low Engagement Users,0.24075475,High Risk,1768,52,0.027,4
Low Engagement Users,0.060178585,Low Risk,1801,44,0.265,5
Low Engagement Users,0.022317976,Low Risk,1255,30,0.188,4
Low Engagement Users,0.24146578,High Risk,1855,29,0.125,5
Credit Revolvers,0.13945244,Medium Risk,2502,48,0.426,4
Low Engagement Users,0.51258874,High Risk,2457,54,0.045,4
Low Engagement Users,0.38023576,High Risk,2502,55,0.093,4
Credit Revolvers,0.01284004,Low Risk,1374,32,0.398,5
Low Engagement Users,0.028578589,Low Risk,1793,33,0.171,5
Credit Revolvers,0.04375401,Low Risk,1191,34,0.608,5
Low Engagement Users,0.049834486,Low Risk,2529,71,0.092,4
Credit Revolvers,0.0504143,Low Risk,2565,69,0.494,6
Credit Revolvers,0.06531986,Low Risk,2111,29,0.465,3
Low Engagement Users,0.1906727,High Risk,1718,37,0.232,4
Credit Revolvers,0.36210617,High Risk,1573,27,0.553,6
Low Engagement Users,0.13799417,Medium Risk,2730,71,0.0,4
Credit Revolvers,0.076239906,Medium Risk,1745,27,0.525,5
Low Engagement Users,0.009307132,Low Risk,1354,24,0.0,4
Low Engagement Users,0.012299837,Low Risk,2562,62,0.0,4
Low Engagement Users,0.36211568,High Risk,1792,36,0.19,6
Low Engagement Users,0.021622116,Low Risk,1376,29,0.0,3
Credit Revolvers,0.28658596,High Risk,3762,73,0.261,5
Credit Revolvers,0.043622993,Low Risk,2516,54,0.466,3
Credit Revolvers,0.369718,High Risk,2568,34,0.637,5
Credit Revolvers,0.1280336,Medium Risk,1387,34,0.629,3
Credit Revolvers,0.05922021,Low Risk,2111,59,0.551,5
Credit Revolvers,0.015895484,Low Risk,1487,33,0.553,5
Low Engagement Users,0.12528978,Medium Risk,2688,88,0.167,6
Credit Revolvers,0.16090178,Medium Risk,1467,29,0.452,3
Low Engagement Users,0.14985362,Medium Risk,1456,44,0.138,4
Low Engagement Users,0.25337896,High Risk,1748,38,0.237,4
Credit Revolvers,0.022150312,Low Risk,1540,32,0.785,6
Low Engagement Users,0.008579217,Low Risk,847,17,0.0,3
Credit Revolvers,0.19212466,High Risk,1954,42,0.659,4
Low Engagement Users,0.094619006,Medium Risk,2950,61,0.049,5
Credit Revolvers,0.057446532,Low Risk,2154,37,0.793,5
Credit Revolvers,0.13490635,Medium Risk,1711,36,0.793,6
Credit Revolvers,0.040611457,Low Risk,1640,44,0.365,3
Low Engagement Users,0.007060107,Low Risk,2496,49,0.0,5
Low Engagement Users,0.06371016,Low Risk,1938,53,0.085,4
Low Engagement Users,0.13920008,Medium Risk,2477,59,0.0,4
Low Engagement Users,0.16042738,Medium Risk,4107,79,0.068,4
Credit Revolvers,0.13851772,Medium Risk,2025,51,0.459,4
Low Engagement Users,0.070039615,Medium Risk,886,21,0.0,3
Low Engagement Users,0.014762427,Low Risk,1284,30,0.0,4
Credit Revolvers,0.030042458,Low Risk,2292,49,0.76,6
Low Engagement Users,0.035117764,Low Risk,1858,51,0.215,5
Low Engagement Users,0.06523563,Low Risk,3508,58,0.02,6
Low Engagement Users,0.512808,High Risk,2338,41,0.236,5
Credit Revolvers,0.04177475,Low Risk,2017,48,0.461,4
Low Engagement Users,0.016225606,Low Risk,4148,79,0.0,4
Low Engagement Users,0.31164262,High Risk,2781,74,0.278,3
Low Engagement Users,0.040615525,Low Risk,2062,55,0.109,4
Credit Revolvers,0.03304233,Low Risk,1973,55,0.49,3
Low Engagement Users,0.08635182,Medium Risk,1930,36,0.0,5
Low Engagement Users,0.10460376,Medium Risk,3189,56,0.0,6
Credit Revolvers,0.063276514,Low Risk,3670,60,0.639,4
Credit Revolvers,0.03304233,Low Risk,1836,48,0.773,3
Low Engagement Users,0.2446879,High Risk,1519,43,0.038,5
Low Engagement Users,0.007590678,Low Risk,1353,40,0.0,2
Low Engagement Users,0.10166288,Medium Risk,1907,52,0.086,3
Low Engagement Users,0.055115625,Low Risk,2746,68,0.067,5
Low Engagement Users,0.03746579,Low Risk,3891,69,0.21,5
Low Engagement Users,0.32262617,High Risk,1764,38,0.231,6
Credit Revolvers,0.04699107,Low Risk,2289,49,0.726,4
Credit Revolvers,0.12739572,Medium Risk,2027,57,0.762,4
Low Engagement Users,0.5411676,High Risk,1959,42,0.026,5
Low Engagement Users,0.14106967,Medium Risk,2503,70,0.0,3
Low Engagement Users,0.14508383,Medium Risk,2655,62,0.0,4
Credit Revolvers,0.081736214,Medium Risk,2109,52,0.417,4
Credit Revolvers,0.036811586,Low Risk,2198,56,0.345,6
Low Engagement Users,0.0287497,Low Risk,1646,42,0.055,4
Low Engagement Users,0.14280333,Medium Risk,1497,27,0.275,4
Credit Revolvers,0.14776951,Medium Risk,2847,61,0.602,6
Low Engagement Users,0.105893575,Medium Risk,3264,83,0.0,5
Low Engagement Users,0.04375401,Low Risk,2056,41,0.296,4
Credit Revolvers,0.03116119,Low Risk,2042,49,0.267,3
Low Engagement Users,0.06305762,Low Risk,2222,39,0.175,3
Credit Revolvers,0.14071535,Medium Risk,1504,38,0.531,6
Low Engagement Users,0.13383038,Medium Risk,998,25,0.0,3
Low Engagement Users,0.025204387,Low Risk,2031,49,0.117,6
Credit Revolvers,0.060407534,Low Risk,947,33,0.68,2
Credit Revolvers,0.092673585,Medium Risk,3432,49,0.828,5
Low Engagement Users,0.015128597,Low Risk,1783,40,0.0,4
Credit Revolvers,0.02454446,Low Risk,1619,37,0.92,6
Credit Revolvers,0.036872778,Low Risk,2717,79,0.949,6
Low Engagement Users,0.03705011,Low Risk,1741,27,0.125,2
Credit Revolvers,0.06357271,Low Risk,2511,55,0.593,6
Credit Revolvers,0.06421173,Low Risk,2238,49,0.316,3
Credit Revolvers,0.08551877,Medium Risk,1607,44,0.63,4
Credit Revolvers,0.01602866,Low Risk,1157,34,0.628,5
Credit Revolvers,0.028075043,Low Risk,2953,72,0.611,4
Low Engagement Users,0.02856478,Low Risk,2944,71,0.0,4
Credit Revolvers,0.042487465,Low Risk,2261,56,0.731,3
Low Engagement Users,0.069654725,Medium Risk,2535,51,0.246,4
Credit Revolvers,0.05915406,Low Risk,1576,34,0.303,3
Low Engagement Users,0.02479148,Low Risk,1584,28,0.121,3
Credit Revolvers,0.2762658,High Risk,4254,79,0.518,4
Credit Revolvers,0.014765833,Low Risk,1834,55,0.358,5
Low Engagement Users,0.14657955,Medium Risk,3444,80,0.0,6
Credit Revolvers,0.046769656,Low Risk,2460,71,0.554,6
Low Engagement Users,0.026305148,Low Risk,1281,32,0.0,6
Credit Revolvers,0.07824714,Medium Risk,2133,41,0.361,4
Low Engagement Users,0.035536665,Low Risk,3700,62,0.0,4
Low Engagement Users,0.045715094,Low Risk,4063,74,0.122,5
Credit Revolvers,0.45170617,High Risk,1926,33,0.752,4
Credit Revolvers,0.12737176,Medium Risk,2473,47,0.456,4
Low Engagement Users,0.012732175,Low Risk,2322,65,0.0,3
Low Engagement Users,0.08959631,Medium Risk,4542,86,0.17,6
Low Engagement Users,0.0062511982,Low Risk,3203,64,0.0,3
Credit Revolvers,0.02135224,Low Risk,1429,32,0.59,6
Low Engagement Users,0.16378532,Medium Risk,3343,77,0.0,6
Credit Revolvers,0.027131656,Low Risk,2010,31,0.352,4
Credit Revolvers,0.054666888,Low Risk,3148,68,0.603,3
Credit Revolvers,0.016647147,Low Risk,2689,57,0.893,4
Credit Revolvers,0.1149174,Medium Risk,1868,43,0.793,4
Low Engagement Users,0.11682116,Medium Risk,1974,60,0.0,3
Credit Revolvers,0.017333388,Low Risk,2000,62,0.943,4
Credit Revolvers,0.375409,High Risk,1267,27,0.451,5
Credit Revolvers,0.051626783,Low Risk,2311,57,0.944,3
Low Engagement Users,0.046399627,Low Risk,3072,67,0.073,3
Credit Revolvers,0.0067299055,Low Risk,1998,41,0.736,3
Credit Revolvers,0.13677166,Medium Risk,1590,33,0.467,6
Credit Revolvers,0.13939652,Medium Risk,1027,20,0.976,5
Low Engagement Users,0.050477166,Low Risk,2579,68,0.196,5
Credit Revolvers,0.20921564,High Risk,2179,55,0.601,5
Low Engagement Users,0.46899354,High Risk,2903,57,0.307,6
Low Engagement Users,0.4485688,High Risk,2739,65,0.053,6
Low Engagement Users,0.048826765,Low Risk,2729,66,0.117,6
Low Engagement Users,0.18151344,High Risk,1766,46,0.063,3
Low Engagement Users,0.04486818,Low Risk,4357,73,0.039,5
Credit Revolvers,0.07709603,Medium Risk,1771,34,0.725,5
Credit Revolvers,0.050409794,Low Risk,1339,28,0.463,4
Low Engagement Users,0.036912896,Low Risk,1619,40,0.145,5
Low Engagement Users,0.046804756,Low Risk,3910,81,0.167,6
Low Engagement Users,0.042278375,Low Risk,2646,49,0.198,4
Low Engagement Users,0.41232982,High Risk,1865,31,0.163,4
Low Engagement Users,0.036264483,Low Risk,3888,77,0.253,5
Low Engagement Users,0.025035493,Low Risk,1602,35,0.17,6
Low Engagement Users,0.012139752,Low Risk,2552,64,0.101,6
Credit Revolvers,0.16090178,Medium Risk,1203,30,0.599,5
Credit Revolvers,0.022350121,Low Risk,1997,44,0.755,6
Low Engagement Users,0.083074674,Medium Risk,968,23,0.0,1
Low Engagement Users,0.051343422,Low Risk,2141,51,0.213,3
Low Engagement Users,0.14732431,Medium Risk,3783,57,0.0,6
Low Engagement Users,0.16776226,Medium Risk,2983,74,0.07,6
Low Engagement Users,0.023641577,Low Risk,2495,46,0.048,6
Low Engagement Users,0.34710678,High Risk,2317,38,0.053,3
